Film,Director,tmdbrating,overview,genre
Ya veremos,Pitipol Ybarra,8.029,"The story of Santi, a preteen who is dealing with the recent separation of his parents Rodrigo and Alejandra. Despite their divorce, Santi's parents are both desperately devoted to their son. When the three learn that Santi has a medical condition that could jeopardize his eyesight, Santi's father encourages him to make a list of places and things he wants to see and do before losing his sight completely. Santi immediately obliges with an elaborate list but with one condition - the estranged couple must come together to help him fulfill his dreams. As the three embark on the amazing, sometimes wacky adventure, the couple must learn how to live together for the sake of their son. But will the adventure open their eyes and make separating impossible? We'll see....",Comedy
Este soy,Verónica Velasco  Epigmenio Ibarra,4.7,"Emiliano looks at his life with the eyes of a film director, mixing the objective reality with the processes of the artistic creation. The story he is filming flounders with his daily life, until his world is trapped in the lens of his camera. Confused, always alone and in front of a screen, now become a transfigured reality, but at the same time a measurable, controllable and manipulable one, he listens in loop to a song: one of those songs you sing or repeat as a prayer and forcing you to remember, believe and convince yourself.",Drama
Ánima,Kuno Becker,7.329,"In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud.",Music
Masacre en Teques ,Rodrigo Hernández Cruz,5.4,"Virginia and her classmates from film school go to “Teques” to shoot a school assignment. There, a masked assassin awaits. They discover the cinematographic origin of this brutal murderer while he hunts them one by one. Virginia will fight to survive and tell the story.",
Dulces tentaciones,Óscar Blancarte,0.0,"Vicky The Devil is an urban Cinderella drag queen in the quest for a prince charming and her own “happy ending”. One night, Vicky gets hit by Concepcion’s car, an ultra conservative retired teacher addicted to casino slot machines. Despite belonging to opposite worlds, Vicky and Concepcion will become close friends. Their friendship will put to the test when Vicky’s dark side shows its head.",
Preludio a una siesta,Mariana H. Menchaca,5.0,,
La boda de la abuela,Javier Colinas,6.871,A dysfunctional family travels to Cuernavaca to celebrate their grandmother’s wedding.,Comedy
Hugo Sánchez,Francisco Javier Padilla,0.0,,Documentary
Semillas contra el despojo,María Antonieta de la Puente Díaz,0.0,"Anthology of three stories united by the theme: The defense of the territory, the fight against dispossession and the creation of the other world. In the documentary, we are witnesses of the indigenous community Mezcala, the neighborhood committee Comité Salvabosque del Nixticuil and the women’s cooperative Las Papatistas. The collective and autonomous forms of organization are seeds of life in a world of destruction.",
Sin origen,Rigoberto Castañeda,5.5,A group of arcanes enjoy fighting vampires.,Horror
"Ok, está bien",Gabriela Ivette Sandoval Torres,8.6,"It's been six years since Mariano graduated from film school. He's about to turn 30 and he still lives with his mom, spends most of his time watching movies and has never written a single screenplay. His comfortable routine changes when his 15-year-old cousin, Ramiro, moves in with them.",Comedy
Buscando al lobo (Finding the Werewolf),Rodrigo Iturralde Álvarez y Georgina González Rodríguez,0.0,"Larry, a rare werewolf-like man who has never felt the need to hide and has fought to empower those who feel different, now has to stay clear of ICE raids as an undocumented immigrant in Trump’s era.",
Yo no estoy aquí,Fernando Frías,,,
Chicuarotes,Gael García Bernal,7.711,"Cagalera and Moloteco are two teenagers from San Gregorio Atlapulco who are desperate to get out and move up and away from oppressive circumstances. When they hear of an opportunity to buy a spot in the electrician’s union, which could transform their lives, they quickly devolve into the criminal, adult underworld of Mexico City in a bid to buy their freedom.",Drama
Mano de obra,David Zonana,7.2,"Francisco was building a luxurious house in Mexico where a fatal accident caused the death of his brother.  When Francisco learns that his widowed sister-in-law will not receive a compensation from the opulent owner of the house, he will seek justice.",Drama
Lucha de gigantes,Humberto Hinojosa,0.0,,
Los idealistas,Marcelo Tobar,7.7,A group of adults who met while studying college gather together a few years later.,Comedy
Esto no es Berlín (Invisible),Hari Sama,,,
En las buenas y en las malas,Gabriel Barragán Sentíes,6.561,Sebastian and Valeria are about to get married. Everything seems perfect but a woman tries to seduce Sebastian while Valeria is pregnant.,Comedy
Santuario,Joshua Gil,0.0,"In Greensboro, NC, a small church community offers sanctuary to Juana Ortega, a Guatemalan grandmother threatened with deportation after 25 years of living and working in the United States.",Documentary
Cindy La Regia,Catalina Aguilar Mastretta,7.911,"When Cindy decides that she doesn't want to marry her boyfriend, she runs to Mexico City, where new friendships and unexpected paths teach her that there are so much more possibilities on her life and her talent than she imagines.",Comedy
Héroes de Chapultepec,Mauricio Sariñana,0.0,"A documentary film about the four of the best mexican tennis players: Rafael Osuna, Pancho Contreras, Mario Llamas and Antonio Palafox.",
El gran salto,Jorge Porras,6.3,"Luis Rivera, the best Mexican high jumper of the history, seeks to inspire a generation by qualifying for the Olympic Games as he finishes his doctorate studies. Injuries threaten his dream while his younger brothers follow in his path and example.",Documentary
Chèche Lavi,Sam Ellison,0.0,"Chèche Lavi is a lyrical portrait of two Haitian migrants, Robens and James, who find themselves stranded at the US-Mexico border with no way forward and no one to depend on but each other.",Documentary
Doña Sabina Sombra,Oliver Victoria,0.0,"Sabina's Shadow is a documentary film that reflects on the figure of the Shaman and the use of hallucinogenic mushrooms in the traditional practices of the Mazatec culture, in the mountains of Oaxaca, Mexico.",
Una leyenda punk,Inés Morales y Susana Quiroz,0.0,Documentary film about punk culture in Mexico.,
Huevitos en fuga,Gabriel Riva Palacio Alatriste y Rodolfo Riva Palacio Alatriste,,,
¿Y cómo es él?,Ariel Winograd,7.457,"Thomas is a meek man on the verge of a nervous breakdown. Despite his situation he decides to fake a work trip to go to Vallarta to confront Jero, a taxi driver who is sleeping with his wife.",Comedy
Cruz,Teresa Camou Guerrero,0.0,Cruz is an experimental documentary about what it is like to be a person of colour in the LGBTQ+ community.,
Dulce familia (Alitas),Nicolás López,7.54,A fat woman attempts to lose weight in order to use her mother's wedding dress with the help of  her evil sisters and needy fiancé.,Comedy
50 primeras citas / Como si fuera la primera vez,Mauricio Valle,6.851,A man falls in love with a girl who has short-term memory loss.,Comedy
Corazón de mezquite,Ana Laura Calderón Montiel,5.0,"This is the story of Lucia, a Yoreme girl that fights for her dream against her tradition, and how she will manage to get close to her father and find her place in her community.",Drama
México pelágico II (Mares de México),Jerónimo Prieto,0.0,A project dedicated to the exploration and filming of marine mega fauna in Mexico.,
Cuestión de principios (Déjalo ir Let It Go),Marcos Almada,5.5,,
El envoltorio sagrado,Julio Serrano Echeverría,0.0,,
Colozio,Artemio Narro,6.2,"In 1994, Mexican presidential candidate Colosio garnered attention for his democratic ideology and anti-corruption stance until he was shot through the head in Tijuana. The wondrous ColOZio, which is partly based on true events, starts three days prior with a prophecy to tripping friends Diego and Gael: save Colosio from death. The duo's dancing in a kaleidoscopic animated, almost 10-minute-long title sequence subsequently sets the tone for a playful, delightfully over-the-top road movie. Expect mythical apparitions, cartoony chases and plenty of drink and drugs.",Comedy
